,timestamp,humidity,temperature,grim_voltage,grim_current,load_cell_voltage,load_cell_current,bat_voltage,bat_current
238,13693154,61.6259765625,21.149999618530273,3262.5,23.75,5002.5,66.25,7982.5,410.0
239,13694154,61.5576171875,21.149999618530273,3266.25,18.75,5002.5,66.25,7978.75,431.25
240,13695154,61.4853515625,21.200000762939453,3262.5,25.0,5005.0,83.75,7975.0,435.0
241,13696154,61.6591796875,21.219999313354492,3265.0,21.25,5003.75,85.0,7983.75,421.25
242,13697154,62.1123046875,21.209999084472656,3262.5,21.25,5002.5,63.75,7965.0,445.0
243,13698154,62.103515625,21.219999313354492,3266.25,21.25,5005.0,63.75,7972.5,478.75
244,13699154,62.2392578125,21.209999084472656,3266.25,20.0,5005.0,85.0,7980.0,501.25
245,13700154,61.396484375,21.219999313354492,3265.0,22.5,5005.0,82.5,7957.5,443.75
246,13701154,62.1494140625,21.219999313354492,3267.5,18.75,5002.5,63.75,7968.75,443.75
247,13702154,61.880859375,21.260000228881836,3265.0,22.5,5003.75,66.25,7981.25,433.75
248,13703154,62.328125,21.280000686645508,3258.75,33.75,5003.75,65.0,7968.75,436.25
249,13704154,62.3173828125,21.280000686645508,3266.25,20.0,5003.75,65.0,7962.5,435.0
250,13705154,61.794921875,21.290000915527344,3265.0,22.5,5003.75,83.75,7946.25,502.5
251,13706154,62.1025390625,21.290000915527344,3262.5,23.75,5003.75,63.75,7980.0,565.0
252,13707154,62.1748046875,21.31999969482422,3261.25,22.5,5003.75,65.0,7968.75,488.75
253,13708154,62.556640625,21.3700008392334,3266.25,20.0,5002.5,65.0,7982.5,440.0
254,13709154,62.6865234375,21.389999389648438,3258.75,35.0,5002.5,65.0,7986.25,468.75
255,13710154,62.28515625,21.459999084472656,3265.0,20.0,5005.0,66.25,7985.0,550.0
256,13711154,63.361328125,21.5,3266.25,27.5,5003.75,66.25,7983.75,461.25
257,13712154,62.0126953125,21.549999237060547,3263.75,22.5,5003.75,82.5,7981.25,423.75
258,13713154,62.1494140625,21.6299991607666,3263.75,21.25,5002.5,66.25,7947.5,503.75
259,13714154,61.8115234375,21.65999984741211,3265.0,27.5,5003.75,66.25,7980.0,550.0
260,13715154,62.580078125,21.700000762939453,3258.75,21.25,5003.75,65.0,7978.75,528.75
